fiyat,oda_salon,metrekare_brut,metrekare_net,bina_yasi,kat,kat_sayisi,isitma,banyo_sayisi,ilce,mahalle
1450000.0,2+1,85.0,80.0,21 Ve Üzeri,5.0,7.0,Kombi Doğalgaz,1.0,Küçükçekmece,Mehmet Akif
6500000.0,3+1,110.0,90.0,21 Ve Üzeri,,4.0,Kombi Doğalgaz,1.0,Ataşehir,Kayışdağı
4600000.0,2+1,86.0,73.0,0 (Yeni),2.0,6.0,Kombi Doğalgaz,2.0,Avcılar,Tahtakale
8700000.0,4+1,170.0,160.0,21 Ve Üzeri,5.0,5.0,Kombi Doğalgaz,2.0,Kağıthane,Çağlayan
5350000.0,3+2,170.0,160.0,11-15,3.0,3.0,Kombi Doğalgaz,2.0,Avcılar,Cihangir
1830000.0,2+1,100.0,95.0,5-10,1.0,6.0,Kombi Doğalgaz,1.0,Esenyurt,Pınar
2750000.0,1+1,90.0,85.0,5-10,14.0,18.0,Merkezi (Pay Ölçer),1.0,Esenyurt,Güzelyurt
6500000.0,1+1,55.0,40.0,0 (Yeni),7.0,12.0,Merkezi (Pay Ölçer),1.0,Zeytinburnu,Veliefendi
5150000.0,2+1,95.0,80.0,21 Ve Üzeri,6.0,6.0,Kombi Doğalgaz,1.0,Zeytinburnu,Merkezefendi
3550000.0,1+1,60.0,50.0,21 Ve Üzeri,,4.0,Kombi Doğalgaz,1.0,Üsküdar,Zeynep Kamil
4850000.0,2+1,85.0,80.0,21 Ve Üzeri,2.0,4.0,Kombi Doğalgaz,1.0,Üsküdar,Valide-i Atik
3750000.0,2+1,85.0,70.0,5-10,,5.0,Kombi Doğalgaz,1.0,Eyüpsultan,Akşemsettin
5999999.0,2+1,85.0,75.0,5-10,,5.0,Kombi Doğalgaz,1.0,Bahçelievler,Şirinevler
7000000.0,2+2,150.0,120.0,5-10,4.0,4.0,Kombi Doğalgaz,2.0,Sancaktepe,Eyüp Sultan
15300000.0,3+1,140.0,120.0,1,2.0,3.0,Kombi Doğalgaz,2.0,Sancaktepe,Abdurrahmangazi
2250000.0,2+1,65.0,60.0,21 Ve Üzeri,,6.0,Kombi Doğalgaz,1.0,Bahçelievler,Zafer
3550000.0,2+1,125.0,115.0,5-10,1.0,5.0,Kombi Doğalgaz,2.0,Esenyurt,Hürriyet
4400000.0,2+1,125.0,110.0,11-15,1.0,4.0,Kombi Doğalgaz,1.0,Esenyurt,Orhan Gazi
10600000.0,5+2,200.0,165.0,16-20,4.0,4.0,Kombi Doğalgaz,3.0,Pendik,Yayalar
6000000.0,1 Oda,60.0,55.0,1,,4.0,Isıtma Yok,1.0,Pendik,Güllü Bağlar
13000000.0,1+1,90.0,80.0,11-15,8.0,14.0,Kombi Doğalgaz,1.0,Gaziosmanpaşa,Karayolları
3195000.0,2+1,125.0,110.0,5-10,2.0,4.0,Kombi Doğalgaz,1.0,Esenyurt,Mehterçeşme
2200000.0,2+1,70.0,65.0,21 Ve Üzeri,,4.0,Kombi Doğalgaz,1.0,Fatih,Yedikule
54500000.0,4+1,245.0,190.0,11-15,5.0,6.0,Yerden Isıtma,3.0,Eyüpsultan,Göktürk Merkez
3975000.0,2+1,90.0,75.0,21 Ve Üzeri,4.0,4.0,Kombi Doğalgaz,1.0,Silivri,Cumhuriyet
2100000.0,3+1,130.0,120.0,11-15,,5.0,Kombi Doğalgaz,2.0,Silivri,Çanta Sancaktepe
3990000.0,2+1,75.0,65.0,21 Ve Üzeri,,3.0,Kombi Doğalgaz,1.0,Silivri,Çanta Sancaktepe
9250000.0,3+1,150.0,125.0,3,5.0,5.0,Kombi Doğalgaz,2.0,Tuzla,Yayla
38000000.0,4+2,220.0,190.0,1,14.0,14.0,Merkezi (Pay Ölçer),3.0,Kadıköy,Göztepe
3150000.0,2+1,84.0,75.0,21 Ve Üzeri,6.0,6.0,Kombi Doğalgaz,2.0,Sultangazi,Cebeci
13950000.0,4+2,185.0,160.0,5-10,5.0,5.0,Kombi Doğalgaz,2.0,Çekmeköy,Merkez
8200000.0,2+1,80.0,55.0,0 (Yeni),3.0,9.0,Yerden Isıtma,1.0,Pendik,Yenişehir
9700000.0,3+1,135.0,126.0,21 Ve Üzeri,6.0,7.0,Kombi Doğalgaz,1.0,Pendik,Çamlık
3000000.0,1+1,80.0,70.0,4,,4.0,Kombi Doğalgaz,1.0,Eyüpsultan,Rami Cuma
2350000.0,1.5+1,70.0,65.0,21 Ve Üzeri,2.0,5.0,Kombi Doğalgaz,1.0,Kağıthane,Yahya Kemal
8000000.0,3+1,110.0,90.0,0 (Yeni),2.0,4.0,Isıtma Yok,1.0,Zeytinburnu,Telsiz
6250000.0,4+2,100.0,86.0,16-20,5.0,5.0,Kombi Doğalgaz,2.0,Şişli,Halide Edip Adıvar
7100000.0,2+1,110.0,90.0,5-10,1.0,4.0,Kombi Doğalgaz,1.0,Kağıthane,Nurtepe
3880000.0,2+1,95.0,85.0,5-10,4.0,4.0,Kombi Doğalgaz,2.0,Esenyurt,Mehmet Akif Ersoy
5700000.0,2+1,90.0,75.0,11-15,1.0,4.0,Kombi Doğalgaz,1.0,Sancaktepe,Fatih
3170000000.0,1+1,100.0,95.0,16-20,2.0,4.0,Kombi Doğalgaz,1.0,Sultangazi,Yunus Emre
9000000.0,3+1,130.0,120.0,21 Ve Üzeri,4.0,4.0,Kombi Doğalgaz,2.0,Fatih,Akşemsettin
1790000.0,2+1,80.0,70.0,21 Ve Üzeri,,5.0,Kombi Doğalgaz,1.0,Bahçelievler,Zafer
